Date,Close,High,Low,Open,Volume,Media_Movel_7d,Volatilidade_7d
2025-01-29,10.531108856201172,10.732397880628127,10.494510772435621,10.732397880628127,33371500,,
2025-01-29,33.14405059814453,33.53028234022098,33.01829793969323,33.41351372772099,18204400,,
2025-01-29,46.65168380737305,47.279006785989566,46.50148113805364,46.65168380737305,19220300,,
2025-01-29,25.82651710510254,26.083071499110698,25.810968099395158,25.99755280775283,13655935,,
2025-01-30,48.62200927734375,49.1256351371403,47.07578870451388,47.093460201233995,40562400,,
2025-01-30,33.584171295166016,33.69195585653112,33.054225681040876,33.26979823018052,30916000,,
2025-01-30,11.107527732849121,11.208172230591531,10.531107341996371,10.558555682732116,56868200,29.923866953168595,15.275960186435679
2025-01-30,26.45624351501465,26.572860229244263,25.83429330600873,25.83429330600873,29709865,32.19888619014195,12.908944674827573
2025-01-31,33.853633880615234,34.46441876278326,33.45842154420449,33.58417076822566,37044800,32.300255230494905,12.920384669783973
2025-01-31,47.862152099609375,48.78104971240713,47.7119494321967,48.586669988137395,25477600,32.47317927224295,13.15052504014796
2025-01-31,11.06178092956543,11.391163666258784,10.988584765855796,11.107528750025725,37528400,30.363931247166224,15.388010611051703
2025-01-31,26.28520965576172,26.603958446407173,26.28520965576172,26.5495394373319,20432975,27.172959872654506,13.119627101335011
2025-02-03,33.6829719543457,33.961419089342236,33.575187403486346,33.9165057189425,24877600,27.187074252537318,13.127724622328195
2025-02-03,47.89749526977539,47.95934382370184,47.11996962884478,47.47338945549686,27216400,32.442783900669646,12.980981329443937
2025-02-03,11.043482780456543,11.134978432380509,10.906240175137798,11.061782259868217,32339300,30.240960938589915,15.270835546897432
2025-02-03,26.042247772216797,26.283379057897818,25.85556391403312,26.19781737387935,25677405,29.125048637390137,15.248231998180245
2025-02-04,33.35063934326172,33.54824381223802,33.072192165800615,33.50333386139839,34290300,27.051975386483328,13.113254211904778
2025-02-04,47.729618072509766,48.33926950983483,47.544072422518646,47.8268096140746,32648700,32.290237835475374,12.984269008082588
2025-02-04,26.135587692260742,26.36116183959531,25.840007311355304,25.980018097554034,23154667,32.268863269260954,12.995919916696769
2025-02-04,11.024215698242188,11.152511127741487,10.886756996160956,11.024215698242188,36005500,29.03189808981759,15.217059225970889
2025-02-05,11.280805587768555,11.344952860034832,10.914247623818731,11.134181877824002,42185200,23.800942420959473,13.886465812156768
2025-02-05,26.53229331970215,26.76564691313624,26.25226833520391,26.306717450973757,45348664,26.0136296408517,12.698026123737188
2025-02-05,33.10811996459961,33.29674380524123,33.00931602147987,33.27877914045496,20539800,27.023039954049246,12.978429632331329
2025-02-05,47.9858512878418,48.1183824548511,47.588251045827306,47.63242810149708,21674800,29.113784517560685,15.162674948180626
2025-02-06,48.710365295410156,49.160976651488944,48.5689966963959,48.9489254382142,32789000,29.253891263689315,15.366519772111392
2025-02-06,33.04524612426758,33.3416545341529,32.96440684404257,33.090156074079346,17512400,30.240985325404576,15.354747643365735
2025-02-06,26.578960418701172,26.750085463082527,25.62998906785336,25.9022346027394,44044581,32.463091714041575,13.065039514199777
2025-02-06,11.436593055725098,11.528232776096562,11.088364215772277,11.20749462873758,45483400,32.48534706660679,13.023008345702815
2025-02-07,48.44529724121094,49.2846713611981,48.20673710999066,48.86056558474865,24395500,35.615776198250906,13.953951250799056
2025-02-07,32.85662078857422,33.26081374495229,32.66799352566715,33.108119237237794,21438700,35.57984774453299,13.961805613113055
2025-02-07,26.38450050354004,26.812315662847887,26.21337376743964,26.67230318439177,40083613,32.49394048963274,13.124898842372437
2025-02-07,10.98755931854248,11.39077300164813,10.868428042804041,11.27164172590969,129620600,27.104968207223074,13.101161904616147
2025-02-10,33.081172943115234,33.260812728723835,32.982369005184935,33.063208279272516,17483300,27.110100609915598,13.103883625529136
2025-02-10,10.996725082397461,11.335790667565107,10.97839678776836,10.996725082397461,31716900,24.88406699044364,14.462265715137361
2025-02-10,26.672306060791016,26.866765989680882,26.4545095956797,26.493401581457675,42687021,27.06059741973877,13.191822141461188
2025-02-10,48.94892501831055,48.94892501831055,48.45413324075855,48.4806387995672,15566300,27.132544245038712,13.32855513962351
2025-02-11,11.253313064575195,11.335788627682232,11.024214666584994,11.042542957915906,40337300,24.04635742732457,14.251405660199685
2025-02-11,48.736873626708984,48.76337918725271,48.056536151974626,48.515984967528745,18198300,27.239553587777273,17.085054603672035
2025-02-11,33.081172943115234,33.31470672025198,32.946439677499505,33.24284806488112,16624300,30.39578410557338,15.554523491350649
2025-02-11,26.952329635620117,27.146791247391715,26.75786970479187,26.75786970479187,35512412,29.520235061645508,15.55066541361634
2025-02-12,10.740133285522461,11.042543104981773,10.46521502948462,11.042543104981773,123782500,29.483579090663365,15.601824487252754
2025-02-12,26.205596923828125,26.92121310708434,26.081141570013305,26.757867451322443,34311545,29.416906356811523,15.61683044159818
2025-02-12,32.587154388427734,33.00931543741162,32.43445988006044,32.91949554147902,37364500,27.07951055254255,13.251535406748703
2025-02-12,48.40995407104492,48.851731341186614,48.33043402759969,48.604333777971966,35432600,32.387602124895366,13.297290354318934
2025-02-13,10.886754035949707,11.015049430564277,10.740131227213556,10.776786929397595,44812400,26.980442183358328,13.236526004914992
2025-02-13,26.345609664916992,26.368944518690974,26.09669895485046,26.221154309883726,15168830,26.018218857901438,12.96107444427222
2025-02-13,48.471805572509766,48.59550267640715,47.82681112326392,48.46296813909236,21749900,29.09242970602853,15.519193984299932
2025-02-13,32.62308120727539,32.63206525202303,32.353618113801254,32.51529665516756,15351300,32.218565123421804,13.243375382406347
2025-02-14,49.18748092651367,49.31118139660362,48.59550098687394,48.78988406937925,49803200,35.501691409519744,14.310007212936592
2025-02-14,27.045665740966797,27.14678623106659,26.48561754559471,26.52451120551673,33546090,34.71005017416818,14.647416221226706
2025-02-14,33.62908172607422,33.754834380282254,32.69494313682371,32.730869040187955,40322000,32.59849698202951,13.351350365953195
2025-02-14,11.170836448669434,11.225820443539154,10.969230506676011,10.978393777536839,46996800,32.63908018384661,13.27456631287198
2025-02-17,48.92241668701172,49.40837103723873,48.84289663912051,49.16097683068533,12391400,35.86433832986014,14.200985356145184
2025-02-17,27.100114822387695,27.457923718168683,27.100114822387695,27.131229077919006,20231641,32.81123965127127,13.308026482407412
2025-02-17,11.189166069030762,11.308297343799635,11.170837777247373,11.262477488282213,17475100,29.749251774379186,15.623004871166108
2025-02-17,33.835670471191406,34.06022364424601,33.65603067387532,33.8087251868759,22615200,27.556135995047434,13.352000191424304
2025-02-18,34.4554328918457,34.52728811187247,33.87159338198724,33.88057742599612,44062600,28.614674159458705,13.596271861200474
2025-02-18,49.24933624267578,49.45255340181043,49.046115713047726,49.12563576405636,27608200,30.846139090401785,15.678757375401567
2025-02-18,11.180002212524414,11.308297636505806,11.106690791375355,11.244150361485648,25805300,30.84744848523821,15.676840618538218
2025-02-18,27.054784774780273,27.17701941273339,26.777717129982225,27.144422804868466,34668327,27.72350106920515,13.50275577424119
2025-02-19,10.978394508361816,11.13418148459889,10.941738800655505,11.10668992230441,38006500,25.42039816720145,14.92663437993517
2025-02-19,49.20515441894531,49.24049741183377,48.348108749606695,48.86056866451611,26472500,30.85125364576067,15.777377305250825
2025-02-19,26.802162170410156,26.956993407361022,26.68807581044354,26.93254683337583,25496918,29.846466745649064,15.779601963605069
2025-02-19,34.52729797363281,34.724905881363114,34.015316963976865,34.23088953844719,32648200,29.856733185904368,15.783123386645023
2025-02-20,26.728824615478516,26.924400745269853,26.606588213588726,26.802164343380063,17946380,26.6395172391619,13.26586667981649
2025-02-20,34.5811882019043,34.64406281543137,34.4105290261036,34.50932954278224,26641200,29.982543809073313,11.559570774122566
2025-02-20,10.950904846191406,11.08836442939685,10.923413279126782,11.005888854261816,26359900,27.681989533560618,13.652385125685512
2025-02-20,51.01644515991211,51.38753648187951,49.90316445302314,50.185901661329744,76934000,33.40171105521066,13.873271365807268
2025-02-21,10.850099563598633,11.015050679094056,10.740132444582008,10.996722388954131,45757000,27.922417504446848,14.16258983111089
