Date,Close,High,Low,Open,Volume
2025-01-29,10.531108856201172,10.732397880628127,10.494510772435621,10.732397880628127,33371500
2025-01-30,11.107527732849121,11.208172230591531,10.531107341996371,10.558555682732116,56868200
2025-01-31,11.06178092956543,11.391163666258784,10.988584765855796,11.107528750025725,37528400
2025-02-03,11.043482780456543,11.134978432380509,10.906240175137798,11.061782259868217,32339300
2025-02-04,11.024215698242188,11.152511127741487,10.886756996160956,11.024215698242188,36005500
2025-02-05,11.280805587768555,11.344952860034832,10.914247623818731,11.134181877824002,42185200
2025-02-06,11.436593055725098,11.528232776096562,11.088364215772277,11.20749462873758,45483400
2025-02-07,10.98755931854248,11.39077300164813,10.868428042804041,11.27164172590969,129620600
2025-02-10,10.996725082397461,11.335790667565107,10.97839678776836,10.996725082397461,31716900
2025-02-11,11.253313064575195,11.335788627682232,11.024214666584994,11.042542957915906,40337300
2025-02-12,10.740133285522461,11.042543104981773,10.46521502948462,11.042543104981773,123782500
2025-02-13,10.886754035949707,11.015049430564277,10.740131227213556,10.776786929397595,44812400
2025-02-14,11.170836448669434,11.225820443539154,10.969230506676011,10.978393777536839,46996800
2025-02-17,11.189166069030762,11.308297343799635,11.170837777247373,11.262477488282213,17475100
2025-02-18,11.180002212524414,11.308297636505806,11.106690791375355,11.244150361485648,25805300
2025-02-19,10.978394508361816,11.13418148459889,10.941738800655505,11.10668992230441,38006500
2025-02-20,10.950904846191406,11.08836442939685,10.923413279126782,11.005888854261816,26359900
2025-02-21,10.850099563598633,11.015050679094056,10.740132444582008,10.996722388954131,45757000
2025-02-24,10.657657623291016,10.868427730818764,10.611837768715972,10.868427730818764,30213900
2025-02-25,10.785953521728516,10.822609232233019,10.675985516273927,10.740133665112616,33494400
2025-02-26,10.575181007385254,10.941738059623185,10.52019701257909,10.905082354399392,51824900
2025-02-27,10.511035919189453,10.648494623769313,10.474380206372082,10.584347344824195,40713100
2025-02-28,10.300263404846191,10.520197649504452,10.27277184274916,10.49270608740742,84387200
2025-03-05,10.511035919189453,10.584347344824195,10.300264915033722,10.300264915033722,41379800
2025-03-06,10.602245330810547,10.67568072505912,10.363579861793205,10.482912596301876,44187500
2025-03-07,10.730755805969238,10.831730119960744,10.482911592956814,10.5379876956623,29808500
2025-03-10,10.574707984924316,10.666501796172243,10.482913298257378,10.611425684507289,42234700
2025-03-11,10.51045036315918,10.602245041171667,10.345221168323201,10.583885755401598,43087500
2025-03-12,10.51045036315918,10.574706987935492,10.40029727479555,10.519630006044213,31708500
2025-03-13,10.694039344787598,10.758295972574373,10.455374746527616,10.519630498895422,35174100
2025-03-14,11.134650230407715,11.19890596913397,10.730754764480098,10.75829368857888,42086800
2025-03-17,11.299881935119629,11.391675736025352,11.134651867902852,11.143831510619098,23901600
2025-03-18,11.290701866149902,11.382495663590168,11.217266478030137,11.327419560209785,19650500
2025-03-19,11.391674995422363,11.501828074599235,11.217266172247033,11.290701558364946,25791100
2025-03-20,11.336599349975586,11.465110843146615,11.235625033433902,11.391675454072058,31369300
2025-03-21,11.49265193939209,11.556907698103307,11.34578025810793,11.364139546550595,74318800
2025-03-24,11.611981391906738,11.685416779530616,11.446752207462453,11.511007952778627,44562300
2025-03-25,11.804750442504883,12.199466338952472,11.611982315800125,11.657879655571532,63764400
2025-03-26,11.997518539428711,12.0709539327131,11.841468109844648,11.914903503129038,49065500
2025-03-27,11.95162296295166,12.089314116732796,11.896545976187802,12.0250583616908,40588300
2025-03-28,11.786391258239746,11.969979729856478,11.74049392148084,11.933262035533131,25978000
2025-03-31,11.630339622497559,11.722134286417752,11.538544958577365,11.722134286417752,38613400
2025-04-01,11.647003173828125,11.833953286680812,11.57222312868705,11.637655445323377,20578300
2025-04-02,11.674128532409668,11.749022627993353,11.552425403884166,11.683489624751596,18113400
2025-04-03,11.898812294006348,12.048600503739817,11.561788822106045,11.561788822106045,46295700
2025-04-04,11.767745971679688,11.852002054319277,11.55242566520791,11.6834898890401,48847400
2025-04-07,11.571148872375488,11.86136417217494,11.365190548964858,11.599234828774453,50116900
2025-04-08,11.252849578857422,11.739661224261189,11.149869522723636,11.674129110581935,56053800
2025-04-09,11.674128532409668,11.814554738427068,11.06561288978216,11.149868970515818,64688900
2025-04-10,11.65540599822998,11.65540599822998,11.383914645085314,11.599235866025237,29807400
2025-04-11,11.814553260803223,11.983065401195045,11.655403104390487,11.720936099436159,28170600
2025-04-14,11.917533874511719,12.01115194022142,11.777107668755209,11.983066877631728,18681300
2025-04-15,11.926896095275879,12.029876148152667,11.889449046813791,11.908173017448865,20639200
2025-04-16,11.908171653747559,12.1328539187899,11.870724609573834,11.880085701011296,29640200
2025-04-17,11.96434211730957,12.067322161351635,11.805191951797273,11.954981025603187,26318600
