Date,Close,High,Low,Open,Volume
2025-01-29,33.14405059814453,33.53028234022098,33.01829793969323,33.41351372772099,18204400
2025-01-30,33.584171295166016,33.69195585653112,33.054225681040876,33.26979823018052,30916000
2025-01-31,33.853633880615234,34.46441876278326,33.45842154420449,33.58417076822566,37044800
2025-02-03,33.6829719543457,33.961419089342236,33.575187403486346,33.9165057189425,24877600
2025-02-04,33.35063934326172,33.54824381223802,33.072192165800615,33.50333386139839,34290300
2025-02-05,33.10811996459961,33.29674380524123,33.00931602147987,33.27877914045496,20539800
2025-02-06,33.04524612426758,33.3416545341529,32.96440684404257,33.090156074079346,17512400
2025-02-07,32.85662078857422,33.26081374495229,32.66799352566715,33.108119237237794,21438700
2025-02-10,33.081172943115234,33.260812728723835,32.982369005184935,33.063208279272516,17483300
2025-02-11,33.081172943115234,33.31470672025198,32.946439677499505,33.24284806488112,16624300
2025-02-12,32.587154388427734,33.00931543741162,32.43445988006044,32.91949554147902,37364500
2025-02-13,32.62308120727539,32.63206525202303,32.353618113801254,32.51529665516756,15351300
2025-02-14,33.62908172607422,33.754834380282254,32.69494313682371,32.730869040187955,40322000
2025-02-17,33.835670471191406,34.06022364424601,33.65603067387532,33.8087251868759,22615200
2025-02-18,34.4554328918457,34.52728811187247,33.87159338198724,33.88057742599612,44062600
2025-02-19,34.52729797363281,34.724905881363114,34.015316963976865,34.23088953844719,32648200
2025-02-20,34.5811882019043,34.64406281543137,34.4105290261036,34.50932954278224,26641200
2025-02-21,34.482383728027344,34.60813295314582,34.284775844892934,34.60813295314582,30115200
2025-02-24,34.239864349365234,34.590166725337454,33.952436583110625,34.581186106696045,27830300
2025-02-25,34.0871696472168,34.52729191265288,33.979385092107236,34.239864148087904,31960900
2025-02-26,34.0871696472168,34.35663274819531,33.90752643776138,34.35663274819531,27420200
2025-02-27,32.883567810058594,33.00033642157123,31.868586489946313,32.65901463290868,129693500
2025-02-28,32.27278137207031,32.82967226574369,32.164996811516296,32.77578169867139,55476800
2025-03-05,31.096120834350586,31.536246538358185,31.033246223265117,31.455407263189823,48552000
2025-03-06,30.772764205932617,31.545227641305093,30.5661757054229,31.266783909770393,47749600
2025-03-07,31.105104446411133,31.37456755108322,30.745818022575502,30.79971201407363,28074700
2025-03-10,31.096120834350586,31.096120834350586,30.539229953418157,31.06019493259412,35037200
2025-03-11,30.629051208496094,31.347624098106017,30.458392031738946,31.212890824701788,28805400
2025-03-12,30.629051208496094,30.898517755304553,30.5033019807372,30.682945203139678,20149100
2025-03-13,30.934446334838867,31.024269667015588,30.575163285361313,30.700912523998948,19263600
2025-03-14,31.886550903320312,32.12008469809063,30.871569591228404,31.078158101404714,41529400
2025-03-17,32.4793701171875,32.70392328542757,31.976369786822346,31.98535383234123,31175900
2025-03-18,32.50631332397461,32.703921195850974,32.25481488806593,32.50631332397461,15086400
2025-03-19,32.4793701171875,32.63206805332365,32.362601510308025,32.57817405943864,21180500
2025-03-20,32.55122756958008,32.76679668431378,32.12008248729407,32.47936891372931,46921900
2025-03-21,33.05422592163086,33.260814426754926,32.49733501971339,32.533264349233086,61175700
2025-03-24,33.009315490722656,33.179974663833974,32.7847623241191,32.96440554268383,20348000
2025-03-25,33.269798278808594,33.70093995130862,32.90153121939756,33.099135677787515,28036100
2025-03-26,33.584171295166016,33.79974384430566,33.3686021724358,33.3686021724358,26870300
2025-03-27,33.835670471191406,34.10513701998453,33.58417201382129,33.620101343848305,28444400
2025-03-28,33.62009811401367,34.0242944719633,33.31470569094164,33.81770598376886,22057700
2025-03-31,33.37757873535156,33.808720354827145,33.3057235119768,33.5482378889745,26049400
2025-04-01,33.503334045410156,34.10513835447732,33.41351414323757,33.503334045410156,19075600
2025-04-02,33.41351318359375,33.50333308318669,33.08117544340843,33.476387798590714,16959200
